,Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
94,128,,Albania,41.1533,20.1683,2020-02-25,0.0,0.0,Tajikistan,9537645.0,2.32%,216627.0,68.0,139960.0,-20000.0,3.6,22,27%,0.12%
95,129,,Albania,41.1533,20.1683,2020-02-26,0.0,0.0,Belarus,9449323.0,-0.03%,-3088.0,47.0,202910.0,8730.0,1.7,40,79%,0.12%
96,130,,Albania,41.1533,20.1683,2020-02-27,0.0,0.0,Austria,9006398.0,0.57%,51296.0,109.0,82409.0,65000.0,1.5,43,57%,0.12%
97,131,,Albania,41.1533,20.1683,2020-02-28,0.0,0.0,Papua New Guinea,8947024.0,1.95%,170915.0,20.0,452860.0,-800.0,3.6,22,13%,0.11%
98,132,,Albania,41.1533,20.1683,2020-02-29,0.0,0.0,Serbia,8737371.0,-0.40%,-34864.0,100.0,87460.0,4000.0,1.5,42,56%,0.11%
99,133,,Albania,41.1533,20.1683,2020-03-01,0.0,0.0,Israel,8655535.0,1.60%,136158.0,400.0,21640.0,10000.0,3,30,93%,0.11%
100,134,,Albania,41.1533,20.1683,2020-03-02,0.0,0.0,Switzerland,8654622.0,0.74%,63257.0,219.0,39516.0,52000.0,1.5,43,74%,0.11%
101,135,,Albania,41.1533,20.1683,2020-03-03,0.0,0.0,Togo,8278724.0,2.43%,196358.0,152.0,54390.0,-2000.0,4.4,19,43%,0.11%
102,136,,Albania,41.1533,20.1683,2020-03-04,0.0,0.0,Sierra Leone,7976983.0,2.10%,163768.0,111.0,72180.0,-4200.0,4.3,19,43%,0.10%
103,137,,Albania,41.1533,20.1683,2020-03-05,0.0,0.0,Hong Kong,7496981.0,0.82%,60827.0,7140.0,1050.0,29308.0,1.3,45,N.A.,0.10%
104,138,,Albania,41.1533,20.1683,2020-03-06,0.0,0.0,Laos,7275560.0,1.48%,106105.0,32.0,230800.0,-14704.0,2.7,24,36%,0.09%
105,139,,Albania,41.1533,20.1683,2020-03-07,0.0,0.0,Paraguay,7132538.0,1.25%,87902.0,18.0,397300.0,-16556.0,2.4,26,62%,0.09%
106,140,,Albania,41.1533,20.1683,2020-03-08,0.0,0.0,Bulgaria,6948445.0,-0.74%,-51674.0,64.0,108560.0,-4800.0,1.6,45,76%,0.09%
107,141,,Albania,41.1533,20.1683,2020-03-09,2.0,0.0,Libya,6871292.0,1.38%,93840.0,4.0,1759540.0,-1999.0,2.3,29,78%,0.09%
108,142,,Albania,41.1533,20.1683,2020-03-10,10.0,0.0,Lebanon,6825445.0,-0.44%,-30268.0,667.0,10230.0,-30012.0,2.1,30,78%,0.09%
109,143,,Albania,41.1533,20.1683,2020-03-11,12.0,1.0,Nicaragua,6624554.0,1.21%,79052.0,55.0,120340.0,-21272.0,2.4,26,57%,0.08%
110,144,,Albania,41.1533,20.1683,2020-03-12,23.0,1.0,Kyrgyzstan,6524195.0,1.69%,108345.0,34.0,191800.0,-4000.0,3,26,36%,0.08%
111,145,,Albania,41.1533,20.1683,2020-03-13,33.0,1.0,El Salvador,6486205.0,0.51%,32652.0,313.0,20720.0,-40539.0,2.1,28,73%,0.08%
112,146,,Albania,41.1533,20.1683,2020-03-14,38.0,1.0,Turkmenistan,6031200.0,1.50%,89111.0,13.0,469930.0,-5000.0,2.8,27,53%,0.08%
113,147,,Albania,41.1533,20.1683,2020-03-15,42.0,1.0,Singapore,5850342.0,0.79%,46005.0,8358.0,700.0,27028.0,1.2,42,N.A.,0.08%
114,148,,Albania,41.1533,20.1683,2020-03-16,51.0,1.0,Denmark,5792202.0,0.35%,20326.0,137.0,42430.0,15200.0,1.8,42,88%,0.07%
115,149,,Albania,41.1533,20.1683,2020-03-17,55.0,1.0,Finland,5540720.0,0.15%,8564.0,18.0,303890.0,14000.0,1.5,43,86%,0.07%
116,150,,Albania,41.1533,20.1683,2020-03-18,59.0,2.0,Congo,5518087.0,2.56%,137579.0,16.0,341500.0,-4000.0,4.5,19,70%,0.07%
117,151,,Albania,41.1533,20.1683,2020-03-19,64.0,2.0,Slovakia,5459642.0,0.05%,2629.0,114.0,48088.0,1485.0,1.5,41,54%,0.07%
118,152,,Albania,41.1533,20.1683,2020-03-20,70.0,2.0,Norway,5421241.0,0.79%,42384.0,15.0,365268.0,28000.0,1.7,40,83%,0.07%
119,153,,Albania,41.1533,20.1683,2020-03-21,76.0,2.0,Oman,5106626.0,2.65%,131640.0,16.0,309500.0,87400.0,2.9,31,87%,0.07%
120,187,,Algeria,28.0339,1.6596,2020-01-22,0.0,0.0,State of Palestine,5101414.0,2.41%,119994.0,847.0,6020.0,-10563.0,3.7,21,80%,0.07%
121,188,,Algeria,28.0339,1.6596,2020-01-23,0.0,0.0,Costa Rica,5094118.0,0.92%,46557.0,100.0,51060.0,4200.0,1.8,33,80%,0.07%
122,189,,Algeria,28.0339,1.6596,2020-01-24,0.0,0.0,Liberia,5057681.0,2.44%,120307.0,53.0,96320.0,-5000.0,4.4,19,53%,0.06%
123,190,,Algeria,28.0339,1.6596,2020-01-25,0.0,0.0,Ireland,4937786.0,1.13%,55291.0,72.0,68890.0,23604.0,1.8,38,63%,0.06%
124,191,,Algeria,28.0339,1.6596,2020-01-26,0.0,0.0,Central African Republic,4829767.0,1.78%,84582.0,8.0,622980.0,-40000.0,4.8,18,43%,0.06%
125,192,,Algeria,28.0339,1.6596,2020-01-27,0.0,0.0,New Zealand,4822233.0,0.82%,39170.0,18.0,263310.0,14881.0,1.9,38,87%,0.06%
126,193,,Algeria,28.0339,1.6596,2020-01-28,0.0,0.0,Mauritania,4649658.0,2.74%,123962.0,5.0,1030700.0,5000.0,4.6,20,57%,0.06%
127,194,,Algeria,28.0339,1.6596,2020-01-29,0.0,0.0,Panama,4314767.0,1.61%,68328.0,58.0,74340.0,11200.0,2.5,30,68%,0.06%
128,195,,Algeria,28.0339,1.6596,2020-01-30,0.0,0.0,Kuwait,4270571.0,1.51%,63488.0,240.0,17820.0,39520.0,2.1,37,N.A.,0.05%
129,196,,Algeria,28.0339,1.6596,2020-01-31,0.0,0.0,Croatia,4105267.0,-0.61%,-25037.0,73.0,55960.0,-8001.0,1.4,44,58%,0.05%
130,197,,Algeria,28.0339,1.6596,2020-02-01,0.0,0.0,Moldova,4033963.0,-0.23%,-9300.0,123.0,32850.0,-1387.0,1.3,38,43%,0.05%
131,198,,Algeria,28.0339,1.6596,2020-02-02,0.0,0.0,Georgia,3989167.0,-0.19%,-7598.0,57.0,69490.0,-10000.0,2.1,38,58%,0.05%
132,199,,Algeria,28.0339,1.6596,2020-02-03,0.0,0.0,Eritrea,3546421.0,1.41%,49304.0,35.0,101000.0,-39858.0,4.1,19,63%,0.05%
133,200,,Algeria,28.0339,1.6596,2020-02-04,0.0,0.0,Uruguay,3473730.0,0.35%,11996.0,20.0,175020.0,-3000.0,2,36,96%,0.04%
134,201,,Algeria,28.0339,1.6596,2020-02-05,0.0,0.0,Bosnia and Herzegovina,3280819.0,-0.61%,-20181.0,64.0,51000.0,-21585.0,1.3,43,52%,0.04%
135,202,,Algeria,28.0339,1.6596,2020-02-06,0.0,0.0,Mongolia,3278290.0,1.65%,53123.0,2.0,1553560.0,-852.0,2.9,28,67%,0.04%
136,203,,Algeria,28.0339,1.6596,2020-02-07,0.0,0.0,Armenia,2963243.0,0.19%,5512.0,104.0,28470.0,-4998.0,1.8,35,63%,0.04%
137,204,,Algeria,28.0339,1.6596,2020-02-08,0.0,0.0,Jamaica,2961167.0,0.44%,12888.0,273.0,10830.0,-11332.0,2,31,55%,0.04%
138,205,,Algeria,28.0339,1.6596,2020-02-09,0.0,0.0,Qatar,2881053.0,1.73%,48986.0,248.0,11610.0,40000.0,1.9,32,96%,0.04%
139,206,,Algeria,28.0339,1.6596,2020-02-10,0.0,0.0,Albania,2877797.0,-0.11%,-3120.0,105.0,27400.0,-14000.0,1.6,36,63%,0.04%
140,207,,Algeria,28.0339,1.6596,2020-02-11,0.0,0.0,Puerto Rico,2860853.0,-2.47%,-72555.0,323.0,8870.0,-97986.0,1.2,44,N.A.,0.04%
141,208,,Algeria,28.0339,1.6596,2020-02-12,0.0,0.0,Lithuania,2722289.0,-1.35%,-37338.0,43.0,62674.0,-32780.0,1.7,45,71%,0.03%
142,209,,Algeria,28.0339,1.6596,2020-02-13,0.0,0.0,Namibia,2540905.0,1.86%,46375.0,3.0,823290.0,-4806.0,3.4,22,55%,0.03%
143,210,,Algeria,28.0339,1.6596,2020-02-14,0.0,0.0,Gambia,2416668.0,2.94%,68962.0,239.0,10120.0,-3087.0,5.3,18,59%,0.03%
144,211,,Algeria,28.0339,1.6596,2020-02-15,0.0,0.0,Botswana,2351627.0,2.08%,47930.0,4.0,566730.0,3000.0,2.9,24,73%,0.03%
145,212,,Algeria,28.0339,1.6596,2020-02-16,0.0,0.0,Gabon,2225734.0,2.45%,53155.0,9.0,257670.0,3260.0,4,23,87%,0.03%
146,213,,Algeria,28.0339,1.6596,2020-02-17,0.0,0.0,Lesotho,2142249.0,0.80%,16981.0,71.0,30360.0,-10047.0,3.2,24,31%,0.03%
147,214,,Algeria,28.0339,1.6596,2020-02-18,0.0,0.0,North Macedonia,2083374.0,0.00%,-85.0,83.0,25220.0,-1000.0,1.5,39,59%,0.03%
148,215,,Algeria,28.0339,1.6596,2020-02-19,0.0,0.0,Slovenia,2078938.0,0.01%,284.0,103.0,20140.0,2000.0,1.6,45,55%,0.03%
149,216,,Algeria,28.0339,1.6596,2020-02-20,0.0,0.0,Guinea-Bissau,1968001.0,2.45%,47079.0,70.0,28120.0,-1399.0,4.5,19,45%,0.03%
150,217,,Algeria,28.0339,1.6596,2020-02-21,0.0,0.0,Latvia,1886198.0,-1.08%,-20545.0,30.0,62200.0,-14837.0,1.7,44,69%,0.02%
151,218,,Algeria,28.0339,1.6596,2020-02-22,0.0,0.0,Bahrain,1701575.0,3.68%,60403.0,2239.0,760.0,47800.0,2,32,89%,0.02%
152,219,,Algeria,28.0339,1.6596,2020-02-23,0.0,0.0,Equatorial Guinea,1402985.0,3.47%,46999.0,50.0,28050.0,16000.0,4.6,22,73%,0.02%
153,220,,Algeria,28.0339,1.6596,2020-02-24,0.0,0.0,Trinidad and Tobago,1399488.0,0.32%,4515.0,273.0,5130.0,-800.0,1.7,36,52%,0.02%
154,221,,Algeria,28.0339,1.6596,2020-02-25,1.0,0.0,Estonia,1326535.0,0.07%,887.0,31.0,42390.0,3911.0,1.6,42,68%,0.02%
155,222,,Algeria,28.0339,1.6596,2020-02-26,1.0,0.0,Timor-Leste,1318445.0,1.96%,25326.0,89.0,14870.0,-5385.0,4.1,21,33%,0.02%
156,223,,Algeria,28.0339,1.6596,2020-02-27,1.0,0.0,Mauritius,1271768.0,0.17%,2100.0,626.0,2030.0,0.0,1.4,37,41%,0.02%
157,224,,Algeria,28.0339,1.6596,2020-02-28,1.0,0.0,Cyprus,1207359.0,0.73%,8784.0,131.0,9240.0,5000.0,1.3,37,67%,0.02%
158,225,,Algeria,28.0339,1.6596,2020-02-29,1.0,0.0,Eswatini,1160164.0,1.05%,12034.0,67.0,17200.0,-8353.0,3,21,30%,0.01%
159,226,,Algeria,28.0339,1.6596,2020-03-01,1.0,0.0,Djibouti,988000.0,1.48%,14440.0,43.0,23180.0,900.0,2.8,27,79%,0.01%
160,227,,Algeria,28.0339,1.6596,2020-03-02,3.0,0.0,Fiji,896445.0,0.73%,6492.0,49.0,18270.0,-6202.0,2.8,28,59%,0.01%
